None,,arfA,arfA,arfA,mscL,mscL,mscL,arfA,arfA,arfA,mscL,mscL,mscL,common,common
Raoultella ornithinolytica (Klebsiella ornithinolytica),54291,A0A1Y6GGR3,A0A1Y6GGR3_RAOOR,SMQ88652.1,A0A1Y6GHK9,A0A1Y6GHK9_RAOOR,SMQ88653.1,475234.0,475449.0,False,475450.0,475863.0,True,-1,0.9
Rahnella victoriana,1510570,A0A2A3KUT7,A0A2A3KUT7_9GAMM,PBI80809.1,A0A2A3KUW9,A0A2A3KUW9_9GAMM,PBI80808.1,3062624.0,3062824.0,True,3062187.0,3062603.0,False,-21,0.9
Rahnella sp. AA,2057180,A0A2N0VUI8,A0A2N0VUI8_9GAMM,PKE27508.1,A0A2N0VUK6,A0A2N0VUK6_9GAMM,PKE27507.1,9520.0,9720.0,True,9073.0,9489.0,False,-31,0.9
Rahnella sp. (strain Y9602),741091,A0A0H3FAE7,A0A0H3FAE7_RAHSY,ADW72001.1,A0A0H3F5D9,A0A0H3F5D9_RAHSY,ADW72002.1,393941.0,394141.0,False,394157.0,394573.0,True,-16,0.9
Rahnella aquatilis HX2,1151116,H8NS83,H8NS83_RAHAQ,AFE56636.1,H8NS84,H8NS84_RAHAQ,AFE56637.1,396595.0,396795.0,False,396811.0,397227.0,True,-16,0.9
Rahnella aquatilis (strain ATCC 33071 / DSM 4594 / JCM 1683 / NBRC 105701 / NCIMB 13365 / CIP 78.65),745277,H2IS04,H2IS04_RAHAC,AEX50335.1,H2IS05,H2IS05_RAHAC,AEX50336.1,401711.0,401911.0,False,401936.0,402352.0,True,-25,0.9
Pseudomonas tremae,200454,A0A0Q0IX03,A0A0Q0IX03_9PSED,KPZ06042.1,A0A0Q0CB49,A0A0Q0CB49_9PSED,KPZ00742.1,38843.0,38998.0,True,103580.0,104026.0,False,-64582,0.9
Pseudomonas stutzeri (Pseudomonas perfectomarina),316,A0A0D7EBC9,A0A0D7EBC9_PSEST,PNG01491.1,A0A2N8SQY4,A0A2N8SQY4_PSEST,PNG04891.1,64822.0,64980.0,False,324419.0,324829.0,True,-259439,0.9
Pseudomonadaceae bacterium,1914538,A0A2D5CGL3,A0A2D5CGL3_9GAMM,MAB98793.1,A0A2D5CES1,A0A2D5CES1_9GAMM,MAB98173.1,10741.0,10899.0,True,8916.0,9326.0,False,-1415,0.9
Salmonella enterica subsp. enterica serovar Heidelberg,611,A0A265BA91,A0A265BA91_SALET,OZT41654.1,A0A265B9X5,A0A265B9X5_SALET,OZT41653.1,9449.0,9718.0,True,9100.0,9513.0,False,64,0.9
Salmonella enterica subsp. enterica serovar Javiana,363569,A0A2T8ZHZ5,A0A2T8ZHZ5_SALET,PVJ74808.1,A0A2T8ZIJ5,A0A2T8ZIJ5_SALET,PVJ74807.1,9680.0,9949.0,True,9331.0,9744.0,False,64,0.9
Serratia nematodiphila DZ0503SBS1,1449981,A0A086G953,A0A086G953_9GAMM,KFF87717.1,A0A086G955,A0A086G955_9GAMM,KFF87719.1,1360663.0,1360869.0,False,1361550.0,1361966.0,True,-681,0.9
Salmonella typhimurium (strain SL1344),216597,A0A0H3NGN9,A0A0H3NGN9_SALTS,CBW19473.1,A0A0H3NMD7,A0A0H3NMD7_SALTS,CBW19472.1,3603120.0,3603389.0,True,3602771.0,3603184.0,False,64,0.9
Salmonella paratyphi C (strain RKS4594),476213,C0PZV4,C0PZV4_SALPC,ACN47564.1,C0PZV3,MSCL_SALPC,ACN47563.1,3514557.0,3514826.0,True,3514208.0,3514621.0,False,64,0.9
Salmonella thompson,600,A0A2T9NWS3,A0A2T9NWS3_SALTH,PVS38632.1,A0A2T9NWS9,A0A2T9NWS9_SALTH,PVS38631.1,9738.0,10007.0,True,9389.0,9802.0,False,64,0.9
Salmonella typhimurium,90371,A0A0D6I950,A0A0D6I950_SALTM,KTZ15664.1,A0A0J5H480,A0A0J5H480_SALTM,KTZ15663.1,9504.0,9773.0,True,9155.0,9568.0,False,64,0.9
Salmonella typhimurium (strain 14028s / SGSC 2262),588858,A0A0F6B7K7,A0A0F6B7K7_SALT1,ACY90505.1,A0A0F6B7K6,A0A0F6B7K6_SALT1,ACY90504.1,3595496.0,3595765.0,True,3595147.0,3595560.0,False,64,0.9
Salmonella typhimurium (strain 4/74),909946,E8XDV5,E8XDV5_SALT4,ADX19199.1,E8XDV4,E8XDV4_SALT4,ADX19198.1,3603120.0,3603389.0,True,3602771.0,3603184.0,False,64,0.9
Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),99287,Q8ZLM4,Q8ZLM4_SALTY,AAL22274.1,P0A1X8,MSCL_SALTY,AAL22273.1,3581645.0,3581914.0,True,3581296.0,3581709.0,False,64,0.9
Serratia ficaria,61651,A0A240CCB7,A0A240CCB7_SERFI,SNW05624.1,A0A240CDF5,A0A240CDF5_SERFI,SNW05622.1,4796480.0,4796686.0,True,4796006.0,4796422.0,False,-58,0.9
Salmonella enterica subsp. enterica serovar Johannesburg,913076,A0A0L5WYZ0,A0A0L5WYZ0_SALET,KNW69631.1,A0A0L9F837,A0A0L9F837_SALET,KNW69632.1,16574.0,16843.0,False,16779.0,17192.0,True,64,0.9
Serratia fonticola,47917,A0A0F7D1A8,A0A0F7D1A8_SERFO,ATM76553.1,A0A0F7H7Z4,A0A0F7H7Z4_SERFO,ATM76554.1,2728541.0,2728747.0,False,2728799.0,2729215.0,True,-52,0.9
Serratia fonticola AU-AP2C,1332071,U2N1H0,U2N1H0_SERFO,ERK05284.1,U2LLI0,U2LLI0_SERFO,ERK05283.1,9574.0,9780.0,True,9106.0,9522.0,False,-52,0.9
Serratia fonticola AU-P3(3),1332070,U2L3P7,U2L3P7_SERFO,ERK05372.1,U2LMA0,U2LMA0_SERFO,ERK05371.1,9438.0,9644.0,True,8970.0,9386.0,False,-52,0.9
Serratia grimesii,82995,A0A2H1LLF3,A0A2H1LLF3_9GAMM,SMZ58796.1,A0A084YN41,A0A084YN41_9GAMM,SMZ58795.1,4746023.0,4746229.0,True,4745550.0,4745966.0,False,-57,0.9
Serratia marcescens,615,A0A2V4G7U2,A0A2V4G7U2_SERMA,POX27111.1,A0A086FJJ0,A0A086FJJ0_SERMA,POX27110.1,9586.0,9792.0,True,9111.0,9527.0,False,-59,0.9
Serratia marcescens subsp. marcescens,211759,A0A1C0R550,A0A1C0R550_SERMA,OCO15371.1,A0A1C0DZ88,A0A1C0DZ88_SERMA,OCO15372.1,16190.0,16396.0,False,16454.0,16870.0,True,-58,0.9
Salmonella newport,108619,A0A0R9N8I1,A0A0R9N8I1_SALNE,OMB09046.1,A0A0R9NX44,A0A0R9NX44_SALNE,OMB09045.1,9546.0,9815.0,True,9197.0,9610.0,False,64,0.9
Salmonella muenster,82689,A0A2T7HJU5,A0A2T7HJU5_SALMS,PVC06587.1,A0A2T7HJV7,A0A2T7HJV7_SALMS,PVC06588.1,16881.0,17150.0,False,17086.0,17499.0,True,64,0.9
Salmonella montevideo,115981,A0A2T9CYC3,A0A2T9CYC3_SALMO,PVK16904.1,A0A2T9CY98,A0A2T9CY98_SALMO,PVK16905.1,16529.0,16798.0,False,16734.0,17147.0,True,64,0.9
Salmonella infantis,595,A0A2T8XUB0,A0A2T8XUB0_SALIN,PVJ54258.1,A0A2T8XUC6,A0A2T8XUC6_SALIN,PVJ54257.1,9608.0,9877.0,True,9259.0,9672.0,False,64,0.9
Salmonella houtenae,59205,A0A1J7LTE6,A0A1J7LTE6_SALHO,PNO33257.1,A0A1J7P5D5,A0A1J7P5D5_SALHO,PNO33258.1,1709661.0,1709930.0,False,1709866.0,1710279.0,True,64,0.9
Salmonella gallinarum (strain 287/91 / NCTC 13346),550538,B5RH44,B5RH44_SALG2,CAR39798.1,B5RH45,MSCL_SALG2,CAR39799.1,4234842.0,4235111.0,False,4235047.0,4235460.0,True,64,0.9
Salmonella enteritidis,149539,A0A1R3ALG4,A0A1R3ALG4_SALEN,AVU91965.1,A0A1R2RK03,A0A1R2RK03_SALEN,AVU91966.1,455804.0,456073.0,False,456009.0,456422.0,True,64,0.9
"Salmonella enterica subsp. salamae serovar 56:z10:e,n,x str. 1369-73",1243604,A0A0V2DDS9,A0A0V2DDS9_SALCE,KSB66043.1,A0A0V2DDG4,A0A0V2DDG4_SALCE,KSB66044.1,201137.0,201406.0,False,201342.0,201755.0,True,64,0.9
"Salmonella enterica subsp. indica serovar 6,14,25:z10:1,(2),7 str. 1121",1173950,V1GQT5,V1GQT5_SALCE,ESE81417.1,V1GUA6,V1GUA6_SALCE,ESE81416.1,9795.0,10064.0,True,9446.0,9859.0,False,64,0.9
Salmonella enterica subsp. enterica serovar Tennessee,143221,A0A2R4I7Q3,A0A2R4I7Q3_SALET,AVV22134.1,A0A2R4I7S5,A0A2R4I7S5_SALET,AVV22135.1,514384.0,514653.0,False,514589.0,515002.0,True,64,0.9
Salmonella enterica subsp. enterica serovar Senftenberg str. 361154004,749965,A0A2S1HMS9,A0A2S1HMS9_SALSE,AWE36967.1,A0A2S1HMT5,A0A2S1HMT5_SALSE,AWE36968.1,495501.0,495770.0,False,495706.0,496119.0,True,64,0.9
Salmonella enterica subsp. enterica serovar Saintpaul,90105,A0A1S0Z6K5,A0A1S0Z6K5_SALET,OHG56886.1,A0A1S0Z4Y2,A0A1S0Z4Y2_SALET,OHG56885.1,9680.0,9949.0,True,9331.0,9744.0,False,64,0.9
Salmonella enterica subsp. enterica serovar Rubislaw str. A4-653,913081,G5QQK2,G5QQK2_SALRU,EHC80624.1,G5QQK1,G5QQK1_SALRU,EHC80623.1,341.0,610.0,True,1.0,405.0,False,64,0.9
"Salmonella enterica subsp. enterica serovar Rough O:d:1,7",1974323,A0A1X2RFH4,A0A1X2RFH4_SALET,OSD60741.1,A0A1X2RFE9,A0A1X2RFE9_SALET,OSD60740.1,9679.0,9948.0,True,9330.0,9743.0,False,64,0.9
Salmonella enterica subsp. enterica serovar Muenchen str. baa1594,1079477,V1W8Z7,V1W8Z7_SALMU,ESG57082.1,V1W4G0,V1W4G0_SALMU,ESG57083.1,16561.0,16830.0,False,16766.0,17179.0,True,64,0.9
Salmonella enterica subsp. enterica serovar Macclesfield str. S-1643,1242107,A0A2C9NV30,A0A2C9NV30_SALET,ASG14868.1,A0A2C9NUQ4,A0A2C9NUQ4_SALET,ASG14869.1,444703.0,444972.0,False,444908.0,445321.0,True,64,0.9
Salmonella enterica subsp. enterica serovar Kentucky,192955,A0A2T8KYN1,A0A2T8KYN1_SALET,PVI08784.1,A0A2T8KYM4,A0A2T8KYM4_SALET,PVI08783.1,9455.0,9724.0,True,9106.0,9519.0,False,64,0.9
Escherichia coli O26 str. RM10386,1055534,A0A2S1VQW9,A0A2S1VQW9_ECOLX,AWJ56696.1,A0A2S1VQV3,A0A2S1VQV3_ECOLX,AWJ56695.1,4484956.0,4485174.0,True,4484549.0,4484959.0,False,3,0.9
uncultured Citrobacter sp.,200446,A0A212I3S8,A0A212I3S8_9ENTR,SBV61424.1,A0A212I477,A0A212I477_9ENTR,SBV61426.1,1297.0,1515.0,False,1512.0,1925.0,True,3,0.9
Escherichia coli O25b:H4,941280,A0A192CE10,A0A192CE10_ECOLX,ANK03769.1,A0A192CCD3,A0A192CCD3_ECOLX,ANK03768.1,2330421.0,2330639.0,True,2330011.0,2330424.0,False,3,0.9
Dickeya dianthicola RNS04.9,1306405,A0A2D1JYQ6,A0A2D1JYQ6_9GAMM,ATO34988.1,A0A2D1JYN7,A0A2D1JYN7_9GAMM,ATO34987.1,3945909.0,3946112.0,True,3945458.0,3945883.0,False,-26,0.9
Escherichia coli 113303,1268978,U9Y6F5,U9Y6F5_ECOLX,ESA68227.1,U9Y4I6,U9Y4I6_ECOLX,ESA68226.1,9468.0,9686.0,True,9061.0,9471.0,False,3,0.9
Escherichia coli 113290,1268976,U9Y6I1,U9Y6I1_ECOLX,ESA69974.1,U9YKR3,U9YKR3_ECOLX,ESA69975.1,16436.0,16654.0,False,16651.0,17061.0,True,3,0.9
Escherichia coli 110957,1268975,U9YV30,U9YV30_ECOLX,ESA73275.1,U9YIW0,U9YIW0_ECOLX,ESA73276.1,16443.0,16661.0,False,16658.0,17068.0,True,3,0.9
Dickeya fangzhongdai,1778540,A0A2K8QRE2,A0A2K8QRE2_9GAMM,ATZ96069.1,A0A2K8QSH5,A0A2K8QSH5_9GAMM,ATZ96068.1,4500579.0,4500845.0,True,4500191.0,4500616.0,False,37,0.9
Dickeya paradisiaca (strain Ech703) (Dickeya dadantii (strain Ech703)),579405,C6C8A0,C6C8A0_DICP7,ACS84245.1,C6C8A2,C6C8A2_DICP7,ACS84247.1,464744.0,464944.0,False,466187.0,466594.0,True,-1243,0.9
Dickeya solani RNS 08.23.3.1.A,1240086,A0A2K8VYS7,A0A2K8VYS7_9GAMM,AUC42399.1,A0A2K8VYT0,A0A2K8VYT0_9GAMM,AUC42398.1,2294862.0,2295065.0,True,2294419.0,2294844.0,False,-18,0.9
Escherichia coli (strain UTI89 / UPEC),364106,Q1R641,Q1R641_ECOUT,ABE09173.1,Q1R642,MSCL_ECOUT,ABE09172.1,3656241.0,3656459.0,True,3655831.0,3656244.0,False,3,0.9
Escherichia coli (strain UMEA 3162-1),1281200,A0A0E2KZF8,A0A0E2KZF8_ECOU3,EQX24917.1,A0A0E2LE31,A0A0E2LE31_ECOU3,EQX24916.1,14581.0,14799.0,True,14171.0,14584.0,False,3,0.9
Escherichia coli (strain SE11),409438,B6I205,B6I205_ECOSE,BAG79090.1,B6I204,MSCL_ECOSE,BAG79089.1,3701331.0,3701549.0,True,3700924.0,3701334.0,False,3,0.9
Escherichia coli (strain MS 21-1),749527,D8A1K3,D8A1K3_ECOMS,EFK22985.1,D8A1K2,D8A1K2_ECOMS,EFK22984.1,9467.0,9685.0,True,9060.0,9470.0,False,3,0.9
Escherichia coli (strain K12),83333,P36675,ARFA_ECOLI,AAA24772.1,P0A742,MSCL_ECOLI,AAA24771.1,408.0,626.0,True,1.0,411.0,False,3,0.9
Dickeya zeae,204042,A0A2K9QJ13,A0A2K9QJ13_9GAMM,AUQ26958.1,A0A2K9QIZ4,A0A2K9QIZ4_9GAMM,AUQ26957.1,4177474.0,4177710.0,True,4177054.0,4177479.0,False,5,0.9
Escherichia coli (strain B / BL21-DE3),469008,A0A140N724,A0A140N724_ECOBD,ACT27531.1,A0A140N3I9,A0A140N3I9_ECOBD,ACT27532.1,473985.0,474203.0,False,474200.0,474610.0,True,3,0.9
Escherichia coli (strain ATCC 9637 / CCM 2024 / DSM 1116 / NCIMB 8666 / NRRL B-766 / W),566546,E0J754,E0J754_ECOLW,ADT76910.1,E0J755,E0J755_ECOLW,ADT76909.1,3651400.0,3651618.0,True,3650993.0,3651403.0,False,3,0.9
Escherichia coli (strain 55989 / EAEC),585055,B7LHZ3,B7LHZ3_ECO55,CAU99989.1,B7LHZ2,MSCL_ECO55,CAU99987.1,3788069.0,3788287.0,True,3787662.0,3788072.0,False,3,0.9
Escherichia coli,562,W8TUP5,W8TUP5_ECOLX,ONK50707.1,C3SR82,C3SR82_ECOLX,ONK50706.1,2096.0,2314.0,True,1689.0,2099.0,False,3,0.9
Dickeya zeae (strain Ech586) (Dickeya dadantii (strain Ech586)),590409,D2BXG3,D2BXG3_DICZ5,ACZ78538.1,D2BXG2,D2BXG2_DICZ5,ACZ78537.1,4254163.0,4254387.0,True,4253731.0,4254156.0,False,-7,0.9
Escherichia albertii B156,550693,A0A1X3JPT9,A0A1X3JPT9_9ESCH,OSL28455.1,A0A1X3JPJ4,A0A1X3JPJ4_9ESCH,OSL28454.1,9709.0,9927.0,True,9302.0,9712.0,False,3,0.9
Dickeya zeae EC1,1427366,A0A0A8FHI0,A0A0A8FHI0_9GAMM,AJC67868.1,A0A0A8FHG2,A0A0A8FHG2_9GAMM,AJC67867.1,4028268.0,4028492.0,True,4027836.0,4028261.0,False,-7,0.9
Escherichia albertii,208962,A0A2T3RK88,A0A2T3RK88_9ESCH,PSY38136.1,A0A2T3RK53,A0A2T3RK53_9ESCH,PSY38135.1,9555.0,9773.0,True,9148.0,9558.0,False,3,0.9
Erwinia typographi,371042,A0A0A3YHV5,A0A0A3YHV5_9GAMM,KGT86225.1,A0A0A3YL37,A0A0A3YL37_9GAMM,KGT86229.1,19089.0,19292.0,False,24576.0,24986.0,True,-5284,0.9
Erwinia sp. OLSSP12,1912096,A0A2G8E0B9,A0A2G8E0B9_9GAMM,PIJ67706.1,A0A2G8DZM6,A0A2G8DZM6_9GAMM,PIJ67707.1,16051.0,16287.0,False,16341.0,16751.0,True,-54,0.9
Erwinia sp. OLMDLW33,1928656,A0A2G8D2Q1,A0A2G8D2Q1_9GAMM,PIJ56573.1,A0A2G8D317,A0A2G8D317_9GAMM,PIJ56572.1,9758.0,9973.0,True,9302.0,9715.0,False,-43,0.9
Erwinia sp. (strain Ejp617),215689,E3DI27,E3DI27_ERWSE,ADP10519.1,E3DI26,E3DI26_ERWSE,ADP10518.1,923959.0,924168.0,True,923465.0,923878.0,False,-81,0.9
Erwinia piriflorinigrans CFBP 5888,1161919,V5ZCW1,V5ZCW1_9GAMM,CCG88799.1,V5ZCN0,V5ZCN0_9GAMM,CCG88797.1,11576.0,11863.0,True,9067.0,9480.0,False,-2096,0.9
Escherichia coli 1303,745156,A0A0E1M6K7,A0A0E1M6K7_ECOLX,AJF58099.1,A0A0E1M425,A0A0E1M425_ECOLX,AJF58098.1,3635830.0,3636048.0,True,3635423.0,3635833.0,False,3,0.9
Dickeya dadantii (strain 3937) (Erwinia chrysanthemi (strain 3937)),198628,E0SIU3,E0SIU3_DICD3,ADN00271.1,E0SIU2,E0SIU2_DICD3,ADN00270.1,4377346.0,4377612.0,True,4376958.0,4377383.0,False,37,0.9
Enterobacteriaceae bacterium bta3-1,1265478,A0A0C5VPC4,A0A0C5VPC4_9ENTR,AJR00996.1,A0A0C5WEB7,A0A0C5WEB7_9ENTR,AJR00995.1,3375247.0,3375423.0,True,3374752.0,3375159.0,False,-88,0.9
Dickeya chrysanthemi (strain Ech1591) (Dickeya zeae (strain Ech1591)),561229,C6CHD0,C6CHD0_DICC1,ACT05241.1,C6CHD1,C6CHD1_DICC1,ACT05242.1,390071.0,390295.0,False,390302.0,390727.0,True,-7,0.9
Escherichia coli 909945-2,1269007,V0ALZ8,V0ALZ8_ECOLX,ESA98781.1,V0ANN6,V0ANN6_ECOLX,ESA98782.1,31547.0,31765.0,False,31762.0,32172.0,True,3,0.9
Escherichia coli 908573,1268998,V0YKB7,V0YKB7_ECOLX,ESD82737.1,V0ZDI2,V0ZDI2_ECOLX,ESD82738.1,16443.0,16661.0,False,16658.0,17068.0,True,3,0.9
Escherichia coli 908525,1268995,V0YFN6,V0YFN6_ECOLX,ESD78514.1,V0YF22,V0YF22_ECOLX,ESD78515.1,16443.0,16661.0,False,16658.0,17068.0,True,3,0.9
Citrobacter sp. A316,1639132,A0A1V4NPG3,A0A1V4NPG3_9ENTR,OPW88589.1,A0A1V4NPY1,A0A1V4NPY1_9ENTR,OPW88588.1,9761.0,9979.0,True,9351.0,9764.0,False,3,0.9
Citrobacter sp. KTE151,1169322,R8WL11,R8WL11_9ENTR,EOQ45563.1,R8WR27,R8WR27_9ENTR,EOQ45562.1,11236.0,11454.0,True,10826.0,11239.0,False,3,0.9
Citrobacter sp. L55,1981983,A0A2N4UZ76,A0A2N4UZ76_9ENTR,PLC60334.1,A0A2N4UZF2,A0A2N4UZF2_9ENTR,PLC60335.1,30043.0,30261.0,False,30258.0,30671.0,True,3,0.9
Escherichia coli 908519,1268991,V0VI82,V0VI82_ECOLX,ESD45127.1,V0VLN2,V0VLN2_ECOLX,ESD45126.1,4390.0,4608.0,True,3980.0,4393.0,False,3,0.9
Escherichia coli 907713,1268986,V0A5M3,V0A5M3_ECOLX,ESA89205.1,U9ZUP2,U9ZUP2_ECOLX,ESA89206.1,16443.0,16661.0,False,16658.0,17068.0,True,3,0.9
Escherichia coli 907672,1268982,V0TE67,V0TE67_ECOLX,ESD09988.1,V0SNK1,V0SNK1_ECOLX,ESD09987.1,9470.0,9688.0,True,9063.0,9473.0,False,3,0.9
Citrobacter sp. MGH100,1686377,A0A0J1JRR7,A0A0J1JRR7_9ENTR,KLV40659.1,A0A0J1JRP6,A0A0J1JRP6_9ENTR,KLV40658.1,9758.0,9976.0,True,9348.0,9761.0,False,3,0.9
Escherichia coli 541-15,752785,I4T818,I4T818_ECOLX,EIL58859.1,I4T817,I4T817_ECOLX,EIL58858.1,9429.0,9647.0,True,9022.0,9432.0,False,3,0.9
Citrobacter sp. MGH103,1686378,A0A0J1NNG9,A0A0J1NNG9_9ENTR,KLV55105.1,A0A0J1KYH8,A0A0J1KYH8_9ENTR,KLV55104.1,10492.0,10710.0,True,10082.0,10495.0,False,3,0.9
Citrobacter sp. MGH105,1686380,A0A0J1PQU3,A0A0J1PQU3_9ENTR,KLV68025.1,A0A0J1LZX4,A0A0J1LZX4_9ENTR,KLV68026.1,510969.0,511187.0,False,511184.0,511597.0,True,3,0.9
Citrobacter sp. MGH106,1686381,A0A0J1LI17,A0A0J1LI17_9ENTR,KLV62032.1,A0A0J1LH46,A0A0J1LH46_9ENTR,KLV62031.1,14562.0,14780.0,True,14152.0,14565.0,False,3,0.9
Citrobacter werkmanii,67827,A0A291CTY9,A0A291CTY9_9ENTR,ATF47662.1,A0A291CU47,A0A291CU47_9ENTR,ATF47663.1,3179.0,3397.0,False,3394.0,3807.0,True,3,0.9
Citrobacter werkmanii NBRC 105721,1114921,A0A090U3K7,A0A090U3K7_9ENTR,GAL46418.1,A0A090U5Y1,A0A090U5Y1_9ENTR,GAL46419.1,58152.0,58370.0,False,58367.0,58780.0,True,3,0.9
Citrobacter youngae ATCC 29220,500640,D4BHT7,D4BHT7_9ENTR,EFE06497.1,D4BHT6,D4BHT6_9ENTR,EFE06496.1,9737.0,10108.0,True,9327.0,9740.0,False,3,0.9
Conservatibacter flavescens,28161,A0A2M8S3A4,A0A2M8S3A4_9PAST,PJG85633.1,A0A2M8S4R3,A0A2M8S4R3_9PAST,PJG86133.1,103260.0,103517.0,False,196304.0,196705.0,True,-92787,0.9
Cosenzaea myxofaciens ATCC 19692,1354337,A0A198FRQ3,A0A198FRQ3_9GAMM,OAT27430.1,A0A198FTI8,A0A198FTI8_9GAMM,OAT27431.1,637.0,843.0,False,846.0,1253.0,True,-3,0.9
Cronobacter dublinensis 582,1208661,K8B0E6,K8B0E6_9ENTR,CCJ86436.1,K8BK52,K8BK52_9ENTR,CCJ86435.1,3529412.0,3529672.0,True,3529054.0,3529458.0,False,46,0.9
Cronobacter malonaticus,413503,A0A2T7AHL0,A0A2T7AHL0_9ENTR,PUX07186.1,V5TVM1,V5TVM1_9ENTR,PUX07185.1,9797.0,10060.0,True,9439.0,9846.0,False,49,0.9
Cronobacter muytjensii,413501,A0A2T7AQ17,A0A2T7AQ17_9ENTR,PUX11487.1,A0A2T7AQ15,A0A2T7AQ15_9ENTR,PUX11486.1,9462.0,9722.0,True,9104.0,9508.0,False,46,0.9
Cronobacter sakazakii (Enterobacter sakazakii),28141,A0A2S9U7L9,A0A2S9U7L9_CROSK,PRO47538.1,A0A2S9U7J5,A0A2S9U7J5_CROSK,PRO47539.1,16588.0,16851.0,False,16802.0,17209.0,True,49,0.9
Cronobacter sakazakii 696,1208664,K8CV94,K8CV94_CROSK,CCK08743.1,K8D7P0,K8D7P0_CROSK,CCK08742.1,3663978.0,3664241.0,True,3663620.0,3664027.0,False,49,0.9
Cronobacter turicensis,413502,A0A2T7B4F3,A0A2T7B4F3_9ENTR,PUX21665.1,A0A2T7B4F1,A0A2T7B4F1_9ENTR,PUX21666.1,16665.0,16928.0,False,16879.0,17286.0,True,49,0.9
Erwinia amylovora ATCC BAA-2158,889211,E5B9U8,E5B9U8_ERWAM,CBX82255.1,E5B9U6,E5B9U6_ERWAM,CBX82253.1,11826.0,12050.0,True,9025.0,9438.0,False,-2388,0.9
Enterobacter asburiae,61645,A0A143I2U8,A0A143I2U8_ENTAS,AMX07957.1,A0A0F0QL32,A0A0F0QL32_ENTAS,AMX07958.1,3561301.0,3561516.0,False,3561517.0,3561927.0,True,-1,0.9
Escherichia coli ATCC BAA-2209,1405293,V8FDP5,V8FDP5_ECOLX,ETD61956.1,V8FEY5,V8FEY5_ECOLX,ETD61957.1,16429.0,16647.0,False,16644.0,17054.0,True,3,0.9
Enterobacter sp. CGMCC 5087,2183878,A0A2U3ERV1,A0A2U3ERV1_9ENTR,PWI77236.1,A0A2U3ERU7,A0A2U3ERU7_9ENTR,PWI77237.1,16421.0,16636.0,False,16637.0,17047.0,True,-1,0.9
Enterobacter sp. BIDMC92,1594172,A0A0J1YBX5,A0A0J1YBX5_9ENTR,KLW85696.1,A0A0J1VFW5,A0A0J1VFW5_9ENTR,KLW85695.1,14881.0,15096.0,True,14470.0,14880.0,False,-1,0.9
Enterobacter cloacae UCICRE 12,1329856,V3CCM1,V3CCM1_ENTCL,ESL68619.1,V3CUK4,V3CUK4_ENTCL,ESL68618.1,14779.0,14994.0,True,14368.0,14778.0,False,-1,0.9
Enterobacter cloacae complex sp. 35699,1619248,A0A0F1A727,A0A0F1A727_9ENTR,KJN17622.1,A0A0F1A600,A0A0F1A600_9ENTR,KJN17621.1,585.0,800.0,True,174.0,584.0,False,-1,0.9
Enterobacter sp. Ag1,1202448,J0MBJ3,J0MBJ3_9ENTR,EJF31334.1,J1GF53,J1GF53_9ENTR,EJF31335.1,22012.0,22296.0,False,22232.0,22645.0,True,64,0.9
Enterobacter sp. 50588862,1736698,A0A0V9EAF2,A0A0V9EAF2_9ENTR,KSX64481.1,A0A0V9EAT2,A0A0V9EAT2_9ENTR,KSX64480.1,9745.0,9960.0,True,9334.0,9744.0,False,-1,0.9
Enterobacter cloacae complex sp. CIDEIMsCOL9,1870932,A0A0F4AZZ1,A0A0F4AZZ1_9ENTR,KJX29449.1,A0A0D9GZC4,A0A0D9GZC4_9ENTR,KJX29448.1,9478.0,9693.0,True,9067.0,9477.0,False,-1,0.9
Enterobacter cloacae complex sp. ECNIH11,2080662,A0A2S4SJ28,A0A2S4SJ28_9ENTR,POV35614.1,A0A2S4SJ41,A0A2S4SJ41_9ENTR,POV35615.1,16684.0,16899.0,False,16900.0,17310.0,True,-1,0.9
Enterobacter cloacae complex sp. ECNIH12,2080660,A0A2S4S6D5,A0A2S4S6D5_9ENTR,POV23680.1,A0A2S4S6C4,A0A2S4S6C4_9ENTR,POV23681.1,16576.0,16791.0,False,16792.0,17205.0,True,-1,0.9
Enterobacter soli ATCC BAA-2102,1354262,A0A198H1W2,A0A198H1W2_9ENTR,OAT42431.1,A0A198GZU7,A0A198GZU7_9ENTR,OAT42430.1,9389.0,9604.0,True,8978.0,9388.0,False,-1,0.9
Enterobacter roggenkampii,1812935,A0A167QE11,A0A167QE11_9ENTR,OHY42477.1,A0A167QE03,A0A167QE03_9ENTR,OHY42478.1,16500.0,16715.0,False,16716.0,17126.0,True,-1,0.9
Enterobacter mori,539813,A0A2U2NIG6,A0A2U2NIG6_9ENTR,PWG68709.1,A0A2U2NHT8,A0A2U2NHT8_9ENTR,PWG68710.1,16465.0,16707.0,False,16681.0,17094.0,True,26,0.9
Enterobacter lignolyticus (strain SCF1),701347,E3GCK8,E3GCK8_ENTLS,ADO46701.1,E3GCK9,E3GCK9_ENTLS,ADO46702.1,439064.0,439279.0,False,439280.0,439690.0,True,-1,0.9
Enterobacter cloacae complex sp. ECNIH8,2080663,A0A2S4QYH4,A0A2S4QYH4_9ENTR,POU31782.1,A0A2S4QYI5,A0A2S4QYI5_9ENTR,POU31781.1,9585.0,9800.0,True,9171.0,9584.0,False,-1,0.9
